epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.268,0.76576,2.6901,1.31832,0.66134,0.53413,0.58936,0.49016,0.56276,1.28628,1.14757,0.00332639,0.00332639,0.00332639
2,300.456,0.8317,1.85094,1.33081,0.53019,0.47799,0.49156,0.39835,0.63797,1.92995,1.24204,0.0066581,0.0066581,0.0066581
3,425.145,0.93932,1.90007,1.3984,0.47777,0.42419,0.42009,0.29634,0.93513,1.89661,1.59248,0.00998329,0.00998329,0.00998329
4,548.743,1.01074,1.89304,1.44482,0.5862,0.63631,0.61872,0.47534,0.71004,1.51481,1.29702,0.00997803,0.00997803,0.00997803
5,672.539,0.95263,1.66032,1.39596,0.70207,0.67984,0.72215,0.5853,0.63678,1.01048,1.22674,0.00996097,0.00996097,0.00996097
6,796.133,0.89991,1.47017,1.35161,0.7459,0.70422,0.76079,0.61803,0.58871,0.90793,1.15721,0.00993906,0.00993906,0.00993906
7,920.059,0.86929,1.33771,1.32709,0.83485,0.74367,0.82845,0.68613,0.53758,0.72123,1.12177,0.00991232,0.00991232,0.00991232
8,1044.12,0.83994,1.27358,1.31059,0.76188,0.7009,0.78772,0.67684,0.49574,0.73868,1.08862,0.00988079,0.00988079,0.00988079
9,1167.73,0.80688,1.18586,1.28012,0.76924,0.70761,0.796,0.68759,0.47427,0.7439,1.07368,0.00984449,0.00984449,0.00984449
10,1291.65,0.78752,1.12571,1.27085,0.80489,0.74656,0.8252,0.72157,0.44715,0.68903,1.04776,0.00980345,0.00980345,0.00980345
11,1415.33,0.77957,1.07403,1.26213,0.74867,0.72551,0.77998,0.67967,0.46834,0.73354,1.06289,0.00975773,0.00975773,0.00975773
12,1539.12,0.74729,1.05084,1.2442,0.84388,0.76912,0.85543,0.75648,0.42532,0.59352,1.01746,0.00970736,0.00970736,0.00970736
13,1662.91,0.73558,1.00259,1.23419,0.75898,0.79007,0.82093,0.73005,0.43449,0.61167,1.02499,0.00965239,0.00965239,0.00965239
14,1786.71,0.72472,0.98595,1.23004,0.8315,0.79846,0.86007,0.76012,0.41662,0.55065,1.01354,0.00959289,0.00959289,0.00959289
15,1910.39,0.71567,0.96178,1.22347,0.81863,0.79517,0.85794,0.76875,0.40152,0.55956,1.00663,0.00952889,0.00952889,0.00952889
16,2034.38,0.70267,0.92347,1.21192,0.86166,0.76063,0.86335,0.77843,0.39581,0.5573,0.99286,0.00946048,0.00946048,0.00946048
17,2158.13,0.7059,0.90612,1.21205,0.80717,0.82419,0.8689,0.77949,0.3923,0.53257,0.99546,0.00938772,0.00938772,0.00938772
18,2281.88,0.68805,0.89605,1.19969,0.8411,0.82519,0.88042,0.79896,0.3745,0.51253,0.98295,0.00931067,0.00931067,0.00931067
19,2405.71,0.6855,0.87506,1.20072,0.86982,0.80164,0.88088,0.79584,0.37798,0.49534,0.98189,0.00922942,0.00922942,0.00922942
20,2529.41,0.68293,0.85373,1.19904,0.86007,0.85447,0.90518,0.81947,0.37463,0.45804,0.98578,0.00914405,0.00914405,0.00914405
21,2653.16,0.67471,0.84771,1.19689,0.84314,0.8395,0.89249,0.81679,0.36211,0.47149,0.96965,0.00905463,0.00905463,0.00905463
22,2776.76,0.66691,0.824,1.18505,0.88606,0.8424,0.90791,0.82589,0.37051,0.45081,0.96618,0.00896127,0.00896127,0.00896127
23,2900.34,0.65806,0.80367,1.18415,0.89846,0.82795,0.90402,0.82834,0.3442,0.42077,0.95952,0.00886404,0.00886404,0.00886404
24,3024.06,0.64637,0.78973,1.17529,0.91718,0.84759,0.9173,0.84465,0.33249,0.42222,0.94233,0.00876305,0.00876305,0.00876305
25,3147.76,0.63868,0.76729,1.16703,0.85752,0.85748,0.89989,0.81983,0.35473,0.42551,0.9662,0.00865839,0.00865839,0.00865839
26,3271.62,0.63455,0.76362,1.16617,0.88862,0.86604,0.92401,0.8405,0.3518,0.41626,0.96611,0.00855018,0.00855018,0.00855018
27,3395.73,0.63345,0.75525,1.16147,0.87773,0.85465,0.91756,0.84378,0.35333,0.40156,0.9697,0.00843851,0.00843851,0.00843851
28,3519.88,0.6281,0.73967,1.1648,0.88874,0.84038,0.90351,0.82749,0.33611,0.41137,0.94808,0.00832349,0.00832349,0.00832349
29,3643.95,0.62657,0.73517,1.1596,0.88918,0.86355,0.91106,0.83958,0.33587,0.39619,0.95084,0.00820525,0.00820525,0.00820525
30,3767.98,0.62057,0.72347,1.15629,0.89277,0.84142,0.91008,0.83117,0.34299,0.41738,0.94802,0.00808389,0.00808389,0.00808389
31,3892.1,0.61991,0.71652,1.1577,0.90339,0.86046,0.92083,0.84855,0.32814,0.37871,0.94109,0.00795954,0.00795954,0.00795954
32,4016.05,0.61816,0.71751,1.15463,0.87627,0.86677,0.91664,0.8493,0.31637,0.37388,0.93241,0.00783231,0.00783231,0.00783231
33,4140.18,0.61348,0.69347,1.15151,0.88626,0.87069,0.91998,0.84997,0.31318,0.37025,0.92591,0.00770234,0.00770234,0.00770234
34,4264.41,0.60295,0.67913,1.1461,0.89448,0.86207,0.9198,0.8543,0.32048,0.38312,0.93985,0.00756976,0.00756976,0.00756976
35,4388.81,0.60641,0.67269,1.14347,0.91181,0.87647,0.92741,0.86023,0.3213,0.35495,0.93183,0.00743468,0.00743468,0.00743468
36,4512.92,0.59041,0.66338,1.13277,0.90673,0.85337,0.91719,0.85491,0.31791,0.35164,0.93107,0.00729725,0.00729725,0.00729725
37,4637.11,0.58422,0.65714,1.13569,0.90257,0.87085,0.92353,0.86037,0.30363,0.35731,0.92117,0.00715761,0.00715761,0.00715761
38,4761.28,0.58581,0.64884,1.1355,0.87502,0.88326,0.90945,0.85072,0.30221,0.35558,0.92404,0.00701588,0.00701588,0.00701588
39,4885.36,0.58901,0.64798,1.13534,0.89586,0.88481,0.9282,0.87111,0.30278,0.35207,0.92738,0.00687222,0.00687222,0.00687222
40,5009.54,0.58667,0.64012,1.13647,0.90517,0.87881,0.9251,0.85922,0.29738,0.34479,0.91662,0.00672675,0.00672675,0.00672675
41,5133.48,0.57618,0.6311,1.13055,0.89829,0.87834,0.93597,0.87678,0.29414,0.32593,0.91717,0.00657963,0.00657963,0.00657963
42,5257.37,0.57647,0.62764,1.12598,0.906,0.8662,0.92595,0.86701,0.29782,0.3419,0.91433,0.00643101,0.00643101,0.00643101
